date,country_code,label,views
2023-03-04,CA,No QID,3207
2023-03-04,CA,non-political,2039346
2023-03-04,CA,political,703484
2023-03-04,GB,No QID,1090
2023-03-04,GB,non-political,5103997
2023-03-04,GB,political,1682087
2023-03-04,IN,No QID,32614
2023-03-04,IN,non-political,7755911
2023-03-04,IN,political,2846233
2023-03-04,US,No QID,4694
2023-03-04,US,non-political,20659414
2023-03-04,US,political,7845001
2023-03-05,AU,No QID,700
2023-03-05,AU,non-political,1505623
2023-03-05,AU,political,500483
2023-03-05,CA,No QID,2738
2023-03-05,CA,non-political,2363246
2023-03-05,CA,political,777237
2023-03-05,GB,No QID,1107
2023-03-05,GB,non-political,5257595
2023-03-05,GB,political,1809110
2023-03-05,IN,No QID,34603
2023-03-05,IN,non-political,8044781
2023-03-05,IN,political,2865196
2023-03-05,US,No QID,4366
2023-03-05,US,non-political,22995259
2023-03-05,US,political,8028645
2023-03-06,AU,No QID,616
2023-03-06,AU,non-political,1190921
2023-03-06,AU,political,474187
2023-03-06,CA,No QID,3336
2023-03-06,CA,non-political,2045536
2023-03-06,CA,political,762389
2023-03-06,GB,No QID,1293
2023-03-06,GB,non-political,4155671
2023-03-06,GB,political,1632662
2023-03-06,IN,No QID,30902
2023-03-06,IN,non-political,7092316
2023-03-06,IN,political,2687583
2023-03-06,US,No QID,28190
2023-03-06,US,non-political,21011185
2023-03-06,US,political,8444771
2023-03-07,AU,No QID,860
2023-03-07,AU,non-political,1063269
2023-03-07,AU,political,460143
2023-03-07,CA,No QID,3463
2023-03-07,CA,non-political,1781174
2023-03-07,CA,political,710397
2023-03-07,GB,No QID,1556
2023-03-07,GB,non-political,3960387
2023-03-07,GB,political,1595486
2023-03-07,IN,No QID,29974
2023-03-07,IN,non-political,7189479
2023-03-07,IN,political,2598967
2023-03-07,US,No QID,10974
2023-03-07,US,non-political,19299277
2023-03-07,US,political,8198183
2023-03-08,AU,No QID,796
2023-03-08,AU,non-political,1036021
2023-03-08,AU,political,460020
2023-03-08,CA,No QID,3297
2023-03-08,CA,non-political,1700441
2023-03-08,CA,political,728511
2023-03-08,GB,No QID,1580
2023-03-08,GB,non-political,3975559
2023-03-08,GB,political,1556112
